permno,fyear,EXECID,grantdate,P_month,T,r,sigma,d,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
10104,2007,00717,20071231,12,10,0.03807,0.21986,0.00000,0,0.26135,0.33923,0.000,17.009,12.420,7.018,0.98986,3.37344,10.45083,0.06511,0.19015
10104,2007,00717,20070731,7,10,0.03807,0.21986,0.00000,1,0.21745,0.05530,10.785,17.009,12.420,7.018,0.98986,3.37344,10.45083,0.06511,0.19015
10104,2008,00717,20081231,12,10,0.03237,0.20559,0.00000,0,-0.22926,0.26135,0.000,17.101,12.506,7.599,0.98659,3.00138,10.76361,0.07920,0.21410
10104,2008,00717,20080731,7,10,0.03237,0.20559,0.00000,1,0.09506,0.21745,11.099,17.101,12.506,7.599,0.98659,3.00138,10.76361,0.07920,0.21410
10104,2009,00717,20091231,12,10,0.03363,0.25754,0.00085,0,0.37721,-0.22926,0.000,16.950,12.354,8.318,0.98550,2.53868,10.76674,0.08505,0.17464
10104,2009,00717,20090731,7,10,0.03363,0.25754,0.00085,1,0.01848,0.09506,10.981,16.950,12.354,8.318,0.98550,2.53868,10.76674,0.08505,0.17464
10104,2010,00717,20101231,12,10,0.03121,0.26326,0.00380,0,0.27198,0.37721,0.000,17.084,12.491,8.536,0.98523,2.34202,11.02808,0.10162,0.18308
10104,2010,00717,20100731,7,10,0.03121,0.26326,0.00380,1,0.06430,0.01848,11.010,17.084,12.491,8.536,0.98523,2.34202,11.02808,0.10162,0.18308
10104,2011,00717,20111231,12,10,0.01784,0.29548,0.00583,0,-0.18201,0.27198,0.000,17.471,12.878,8.624,0.98477,2.81751,11.20553,0.07685,0.18211
10104,2011,00717,20110731,7,10,0.01784,0.29548,0.00583,1,0.52984,-0.00199,10.963,17.471,12.878,8.624,0.98477,2.81751,11.20553,0.07685,0.18211
10147,2007,20887,20070731,7,10,0.04018,0.24355,0.00000,0,0.74082,-0.29200,0.000,11.129,6.937,6.285,0.74606,1.95276,9.82915,0.09516,0.12748
