permno,fyear,EXECID,grantdate,val,security,ret,retlag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo,val_lag,time
10421,1995,8180,19951001,5.482017745,1,-0.215226894,-0.318088367,8.918492115,4.378716869,1.838294689,0.954256355,1.190221435,5.242709515,0.14867515,0.162800176,6.200399373,3
10421,1996,8180,19961001,5.688439328,1,-0.17080846,-0.215226894,8.8072061,4.2539365,1.698192035,0.908092628,1.070608108,5.431755005,0.246173423,0.142973292,5.482017745,4
10421,1997,8180,19971001,5.955302542,1,0.533262949,-0.17080846,8.878450932,4.327193759,2.297283865,0.896215319,1.031764979,5.454885123,0.223624197,0.14090969,5.688439328,5
10421,1998,8180,19981001,7.1110852,1,1.003270583,0.533262949,9.940638801,5.389212794,3.041709908,0.860018814,1.687183344,5.80334421,0.103701551,0.207846353,5.955302542,6
10421,1999,8180,19991001,7.44061756,1,-0.072978788,1.003270583,10.43617687,5.867765252,3.134935092,0.833238782,2.078186204,6.037059135,0.0810242,0.236091354,7.1110852,7
10421,2000,8180,20001001,7.886243191,1,0.924045025,-0.072978788,10.72859574,6.163674861,3.586545446,0.83196373,2.394299666,6.155246554,0.053970699,0.207103864,7.44061756,8
10421,2001,8180,20010701,7.441080047,1,0.434729852,0.570968618,10.81467625,6.267607478,4.201269535,0.821979689,2.159336243,6.546105122,0.055997355,0.216432751,7.886243191,9
10421,2002,8180,20020701,7.449979857,1,-0.44253163,0.434729852,10.94916298,6.38340564,3.995185743,0.824940728,2.095316541,6.706383004,0.073544803,0.198270086,7.441080047,10
10421,2003,8180,20030701,7.143930739,1,-0.039751692,-0.44253163,10.23188003,5.694771703,4.141829418,0.827615071,1.112084634,6.908139205,0.124087683,0.212712832,7.449979857,11
10421,2004,8180,20040701,7.154045572,1,-0.255278193,-0.039751692,10.65438628,6.110476147,4.414534139,0.880847814,1.22161023,7.33316026,0.26425265,0.15784023,7.143930739,12
10421,2005,8180,20050701,7.494892793,1,0.428626303,-0.255278193,10.7016485,6.194553311,4.69152556,0.880619858,1.227026945,7.416551044,0.24308725,0.161433681,7.154045572,13
10421,2006,8180,20060502,6.64276858,1,0.221552381,0.060408045,11.02845735,6.534857279,4.922320669,0.892486777,1.199935121,8.108215722,0.462762039,0.124848477,7.494892793,14
