permno,fyear,EXECID,val,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
10104,2006,00717,0.000,0,0.33923,-0.14155,0.000,13.741,9.136,0.000,1.00000,3.04578,10.27609,0.06666,0.21951
10104,2006,00717,10.785,1,0.05530,0.25568,10.599,13.741,9.136,0.000,1.00000,3.04578,10.27609,0.06666,0.21951
10104,2007,00717,0.000,0,0.26135,0.33923,0.000,17.009,12.420,7.018,0.98986,3.37344,10.45083,0.06511,0.19015
10104,2007,00717,11.099,1,0.21745,0.05530,10.785,17.009,12.420,7.018,0.98986,3.37344,10.45083,0.06511,0.19015
10104,2008,00717,0.000,0,-0.22926,0.26135,0.000,17.101,12.506,7.599,0.98659,3.00138,10.76361,0.07920,0.21410
10104,2008,00717,10.981,1,0.09506,0.21745,11.099,17.101,12.506,7.599,0.98659,3.00138,10.76361,0.07920,0.21410
10104,2009,00717,0.000,0,0.37721,-0.22926,0.000,16.950,12.354,8.318,0.98550,2.53868,10.76674,0.08505,0.17464
10104,2009,00717,11.010,1,0.01848,0.09506,10.981,16.950,12.354,8.318,0.98550,2.53868,10.76674,0.08505,0.17464
10104,2010,00717,0.000,0,0.27198,0.37721,0.000,17.084,12.491,8.536,0.98523,2.34202,11.02808,0.10162,0.18308
10104,2010,00717,10.963,1,0.06430,0.01848,11.010,17.084,12.491,8.536,0.98523,2.34202,11.02808,0.10162,0.18308
10104,2011,00717,0.000,0,-0.18201,0.27198,0.000,17.471,12.878,8.624,0.98477,2.81751,11.20553,0.07685,0.18211
10104,2011,00717,11.408,1,0.52984,-0.00199,10.963,17.471,12.878,8.624,0.98477,2.81751,11.20553,0.07685,0.18211
10147,2006,20887,0.000,0,-0.29200,0.21357,10.033,10.300,5.698,0.000,0.01449,2.21538,9.72862,0.00341,0.14370
10147,2006,20887,0.000,1,-0.29200,0.21357,8.863,10.300,5.698,0.000,0.01449,2.21538,9.72862,0.00341,0.14370
10147,2007,20887,0.000,0,0.74082,-0.29200,0.000,11.129,6.937,6.285,0.74606,1.95276,9.82915,0.09516,0.12748
10147,2007,20887,0.000,1,0.74082,-0.29200,0.000,11.129,6.937,6.285,0.74606,1.95276,9.82915,0.09516,0.12748
10147,2008,20887,9.045,0,-0.24355,0.61118,0.000,11.497,7.252,6.307,0.85742,2.18612,10.01170,0.07082,0.16840
10147,2008,20887,6.767,1,-0.24355,0.61118,0.000,11.497,7.252,6.307,0.85742,2.18612,10.01170,0.07082,0.16840
