permno,fyear,date,adjfac,S0,S1,u,sigma
10421,2007,20071231,1,26.85000038,18.60000038,0.068208514,0.274111038
10421,2008,20081231,1,18.60000038,16.92000008,-0.136306194,0.338080733
10421,2009,20091231,1,16.92000008,15.61999989,-0.136081958,0.472130644
10421,2010,20101231,1,15.61999989,12.59000015,-0.164967386,0.47778695
10421,2011,20111231,1,12.59000015,12.46000004,-0.123339729,0.42840896
10644,2007,20071231,1,3.579999924,1.169999957,-0.066729656,0.500741404
10644,2008,20081231,1,1.169999957,1.340000033,-0.198941308,0.567862364
10644,2009,20091231,1,1.340000033,1.519999981,-0.14493841,0.61027978
10644,2010,20101231,1,1.519999981,1.679999948,-0.136277513,0.476427085
10644,2011,20111231,1,1.679999948,1.590000033,0.124646138,0.413045084
10696,2007,20071231,1,55.49000168,36.36999893,0.068962632,0.184746765
10696,2008,20081231,1,36.36999893,48.47999954,-0.063018823,0.280539579
10696,2009,20091231,1,48.47999954,58.56000137,-0.00577106,0.305034071
10696,2010,20101231,1,58.56000137,58.74000168,0.058066528,0.290109831
10696,2011,20111231,1,58.74000168,79.02999878,0.177426925,0.220054118
11378,2007,20071231,1,15.89000034,15.35999966,0.366997458,0.467330931
11378,2008,20081231,1,15.35999966,13.89999962,0.482163546,0.52756348
11378,2009,20091231,1,13.89999962,15.11999989,0.436445504,0.519961289
11378,2010,20101231,1,15.11999989,15.71000004,-0.021981356,0.493711428
11378,2011,20111231,1,15.71000004,14.18000031,0.007366383,0.396834886
12062,2007,20071231,1,75.52999878,64.41000366,0.109420922,0.163346934
12062,2008,20081231,1,64.41000366,74.83999634,0.040727907,0.188474007
12062,2009,20091231,1,74.83999634,87.91999817,-0.007603178,0.214206996
12062,2010,20101231,1,87.91999817,85.97000122,0.054961992,0.190989875
12062,2011,20111231,1,85.97000122,86.62000275,0.101226306,0.17936565
12570,2007,20071231,2.575,25.6466023,17.86019483,0.113765005,0.161854582
12570,2008,20081231,2.575,17.86019483,19.31650551,-0.050240149,0.261424068
12570,2009,20091231,2.575,19.31650551,20.23689344,-0.042558983,0.284300441
12570,2010,20101231,2.575,20.23689344,19.32999992,-0.065263066,0.311421294
12570,2011,20111231,1,19.32999992,23.45999908,0.024750581,0.269936808
15579,2007,20071231,1,33.40000153,15.52000046,0.074299446,0.265378104
15579,2008,20081231,1,15.52000046,26.05999947,-0.193023666,0.275415142
15579,2009,20091231,1,26.05999947,32.5,0.079107724,0.297632163
15579,2010,20101231,1,32.5,29.11000061,0.123526826,0.315668858
15579,2011,20111231,1,29.11000061,30.88999939,0.269619428,0.267766344
20626,2007,20071231,1,39.41999817,15.09000015,-0.111324162,0.191421855
20626,2008,20081231,1,15.09000015,27.62999916,-0.270721703,0.270437704
20626,2009,20091231,1,27.62999916,34.13999939,0.047710485,0.706535857
20626,2010,20101231,1,34.13999939,28.76000023,0.143237821,0.727124254
20626,2011,20111231,1,28.76000023,32.32939911,0.298362798,0.711769792
22111,2007,20071231,1,66.69999695,59.83000183,-0.024087625,0.101418423
22111,2008,20081231,1,59.83000183,64.41000366,-0.035254613,0.135989582
22111,2009,20091231,1,64.41000366,61.84999847,-0.027109741,0.168393632
22111,2010,20101231,1,61.84999847,65.58000183,-0.030177506,0.172124577
22111,2011,20111231,1,65.58000183,70.09999847,0.029030394,0.160488796
23077,2007,20080430,1,47.02999878,34.41999817,0.042327627,0.13773679
23077,2008,20090430,1,34.41999817,46.86999893,-0.077669694,0.164640308
23077,2009,20100430,1,46.86999893,51.22999954,0.014118074,0.177297936
23077,2010,20110430,1,51.22999954,53.31000137,0.056092001,0.172399253
23077,2011,20120430,1,53.31000137,57.68000031,0.161778571,0.123186414
23297,2007,20070630,1,29.27000046,18.89999962,0.054202367,0.244362164
23297,2008,20080630,1,18.89999962,17.03000069,-0.118286186,0.286613058
23297,2009,20090630,1,17.03000069,14.46000004,-0.110534233,0.600930724
23297,2010,20100630,1,14.46000004,24.45999908,-0.212723915,0.614113348
23297,2011,20110630,1,24.45999908,31.87000084,0.141300821,0.599050501
23393,2007,20071231,2,27.03499985,28.05999947,0.131008386,0.172384953
23393,2008,20081231,2,28.05999947,30.22500038,0.154856853,0.187774185
23393,2009,20091231,2,30.22500038,34.50999832,0.101734173,0.20106205
23393,2010,20101231,2,34.50999832,45.75999832,0.076584453,0.184644568
23393,2011,20111231,1,45.75999832,53.5699997,0.177986623,0.174122069
23819,2007,20071231,1,37.90999985,18.18000031,0.216263817,0.320560584
23819,2008,20081231,1,18.18000031,30.09000015,-0.13544747,0.434648667
23819,2009,20091231,1,30.09000015,40.83000183,0.095560055,0.434596903
23819,2010,20101231,1,40.83000183,34.50999832,0.156867508,0.476819007
23819,2011,20111231,1,34.50999832,34.68999863,0.281324072,0.42006444
26084,2007,20071231,1,5.53000021,3.220000029,-0.019928926,0.341141797
26084,2008,20081231,1,3.220000029,8.010000229,-0.056099875,0.421908181
26084,2009,20091231,1,8.010000229,10.88000011,0.387404156,0.514256312
26084,2010,20101231,1,10.88000011,14.07999992,0.467406416,0.613149349
26084,2011,20111231,1,14.07999992,18.22999954,0.707533307,0.517552787
27334,2007,20071231,1,37.02999878,20.70000076,0.004163241,0.200010033
27334,2008,20081231,1,20.70000076,34.25999832,-0.15567793,0.290963462
27334,2009,20091231,1,34.25999832,39.74000168,0.032830042,0.358061938
27334,2010,20101231,1,39.74000168,44.29999924,0.117480006,0.371229116
27334,2011,20111231,1,44.29999924,58.75999832,0.305559899,0.376697308
27684,2007,20070630,1,39.63999939,27.28000069,0.235427328,0.328858713
27684,2008,20080630,1,27.28000069,21.03000069,0.135730114,0.33746122
27684,2009,20090630,1,21.03000069,24.11000061,0.106453549,0.450262132
27684,2010,20100630,1,24.11000061,31.87999916,-0.142846485,0.436978219
27684,2011,20110630,1,31.87999916,30.86000061,0.074481171,0.428841772
28484,2007,20071231,1,100.8600006,53.63999939,0.518434968,0.349142588
28484,2008,20081231,1,53.63999939,60.5,0.196630982,0.441569527
28484,2009,20091231,1,60.5,76.54000092,0.198276196,0.431737907
28484,2010,20101231,1,76.54000092,56.79999924,-0.031511132,0.394028053
28484,2011,20111231,1,56.79999924,52.95999908,0.041492839,0.322135476
32942,2007,20071231,1,51.59999847,32.68000031,-0.04028574,0.203234853
32942,2008,20081231,1,32.68000031,47.29999924,-0.110509231,0.251900297
32942,2009,20091231,1,47.29999924,60.13000107,0.051530619,0.304666928
32942,2010,20101231,1,60.13000107,66.86000061,0.109801827,0.341054701
32942,2011,20111231,1,66.86000061,84.62999725,0.272633558,0.32556466
39538,2007,20071231,1,19.04000092,16,-0.015821491,0.252745243
39538,2008,20081231,1,16,19.97999954,-0.001725395,0.301742124
39538,2009,20091231,1,19.97999954,25.43000031,-0.042943949,0.348715733
39538,2010,20101231,1,25.43000031,27.76000023,0.112236717,0.338268576
39538,2011,20111231,1,27.76000023,36.61999893,0.200469755,0.264919713
47730,2007,20071031,1,23.52000046,16.32999992,0.003506575,0.252463444
47730,2008,20081031,1,16.32999992,18.78000069,-0.07779821,0.323636951
47730,2009,20091031,1,18.78000069,22.54999924,-0.015705136,0.432245783
47730,2010,20101031,1,22.54999924,20.21999931,0.006392575,0.40640901
47730,2011,20111031,1,20.21999931,19,0.078511416,0.358898496
48725,2007,20071231,2,62.81000137,47.79999924,0.184244046,0.217716284
48725,2008,20081231,1,47.79999924,63.90000153,0.048004146,0.2840181
48725,2009,20091231,1,63.90000153,92.66000366,0.128403363,0.328020691
48725,2010,20101231,1,92.66000366,105.9400024,0.174485774,0.328197605
48725,2011,20111231,1,105.9400024,125.7200012,0.305848005,0.278769464
51625,2007,20071231,1,14.05000019,4.96999979,0.189107816,0.217558764
51625,2008,20081231,1,4.96999979,8.18999958,-0.048525122,0.307554436
51625,2009,20091231,1,8.18999958,8.25,0.099948938,0.411184143
51625,2010,20101231,1,8.25,10.64999962,-0.002887514,0.420721357
51625,2011,20111231,1,10.64999962,13.81000042,0.311038185,0.384039249
52476,2007,20071231,1,36.36000061,26.52000046,0.060219917,0.201303812
52476,2008,20081231,1,26.52000046,30.88999939,-0.136709684,0.243493501
52476,2009,20091231,1,30.88999939,35.59999847,-0.089465805,0.28349343
52476,2010,20101231,1,35.59999847,38.74000168,0.008038569,0.297950766
52476,2011,20111231,1,38.74000168,54.11999893,0.131480156,0.263483763
53110,2007,20071231,1,44.95000076,29.02000046,0.388443979,0.421229106
53110,2008,20081231,1,29.02000046,39.8199997,0.178076177,0.506695171
53110,2009,20091231,1,39.8199997,44.22000122,0.184591035,0.51060569
53110,2010,20101231,1,44.22000122,29.43000031,0.035416786,0.477324902
53110,2011,20111231,1,29.43000031,47.40999985,0.045731911,0.332807946
54148,2007,20071231,1,10.53999996,10.93000031,-0.234956211,0.355382142
54148,2008,20081231,1,10.93000031,10,-0.292491514,0.530615207
54148,2009,20091231,1,10,7.519999981,-0.256000115,0.600197851
54148,2010,20101231,1,7.519999981,6.309999943,-0.107149081,0.599415717
54148,2011,20111231,1,6.309999943,18.15999985,-0.167445379,0.525253491
54827,2007,20070630,1,30.01000023,24.40999985,-0.041461101,0.242958283
54827,2008,20080630,1,24.40999985,15.55000019,-0.04187279,0.278879253
54827,2009,20090630,1,15.55000019,18.23999977,-0.24366125,0.377716718
54827,2010,20100630,1,18.23999977,25.77000046,-0.137702129,0.404344808
