permno,fyear,date,adjfac,S0,S1,u,sigma
10104,2007,20080531,1,19.379999161,22.840000153,0.1686331554,0.2055865517
10104,2008,20090531,1,22.840000153,19.590000153,0.0958187099,0.2575373845
10104,2009,20100531,1,19.590000153,22.569999695,0.0453496942,0.2632562399
10104,2010,20110531,1,22.569999695,34.220001221,0.1690026217,0.2954783427
10104,2011,20120531,1,34.220001221,26.469999313,0.1440781269,0.2976348395
10147,2007,20071231,1,13.199999809,18.530000687,0.0504806673,0.2863631503
10147,2008,20081231,1,18.530000687,10.470000267,-0.059305572,0.3407160246
10147,2009,20091231,1,10.470000267,17.469999313,0.1866626013,0.3452753802
10147,2010,20101231,1,17.469999313,22.899999619,0.1740416633,0.2908276138
10147,2011,20111231,1,22.899999619,21.540000916,0.3022453634,0.2480177249
10696,2007,20071231,1,52.419998169,55.490001678,0.068962632,0.1847467654
10696,2008,20081231,1,55.490001678,36.369998932,-0.063018823,0.2805395791
10696,2009,20091231,1,36.369998932,48.479999542,-0.00577106,0.3050340711
10696,2010,20101231,1,48.479999542,58.560001373,0.0580665282,0.2901098306
10696,2011,20111231,1,58.560001373,58.740001678,0.1774269252,0.2200541178
10909,2007,20071231,2,22.75,28.200000763,0.2642500299,0.2616951797
10909,2008,20081231,2,28.200000763,19.225000381,-0.063543409,0.3115070606
10909,2009,20091231,2,19.225000381,41.220001221,0.3301438917,0.3532222853
10909,2010,20101231,2,41.220001221,47.369998932,0.3164278968,0.3611998737
10909,2011,20111231,1,47.369998932,61.25,0.5236666693,0.2839142628
11618,2007,20071231,2,17.940000534,20.209999084,0.0596808188,0.2554477937
11618,2008,20081231,2,20.209999084,17.424999237,-0.067335296,0.2826417239
11618,2009,20091231,2,17.424999237,20.819999695,0.0380309032,0.308426598
11618,2010,20101231,2,20.819999695,29.954999924,0.1567503089,0.3239328474
11618,2011,20111231,1,29.954999924,43.61000061,0.3589626707,0.2810492527
11850,2007,20071231,1,76.629997253,93.690002441,0.1764174303,0.2081055074
11850,2008,20081231,1,93.690002441,79.830001831,0.1027445456,0.1773875943
11850,2009,20091231,1,79.830001831,68.190002441,-0.047683996,0.1707847547
11850,2010,20101231,1,68.190002441,73.120002747,-0.081509556,0.184364458
11850,2011,20111231,1,73.120002747,84.760002136,0.0253773871,0.1836550051
12570,2007,20071231,2.575,22.066019299,25.646602297,0.1137650051,0.1618545824
12570,2008,20081231,2.575,25.646602297,17.860194827,-0.050240149,0.2614240684
12570,2009,20091231,2.575,17.860194827,19.316505506,-0.042558983,0.284300441
12570,2010,20101231,2.575,19.316505506,20.236893441,-0.065263066,0.311421294
12570,2011,20111231,1,20.236893441,19.329999924,0.0247505812,0.2699368079
14277,2007,20071231,1,63.159999847,98.370002747,0.3779681694,0.2734421429
14277,2008,20081231,1,98.370002747,42.330001831,0.0513840094,0.4088702965
14277,2009,20091231,1,42.330001831,65.089996338,0.1483525914,0.3849093514
14277,2010,20101231,1,65.089996338,83.5,0.0771745384,0.4226503257
14277,2011,20111231,1,83.5,68.309997559,0.2087007625,0.3569254128
15069,2007,20071231,1.640364,28.194961606,37.101521742,0.4245286447,0.3089935876
15069,2008,20081231,1.640364,37.101521742,16.679225227,0.0494343249,0.3850743312
15069,2009,20091231,1.640364,16.679225227,19.032360692,-0.054496477,0.3538814023
15069,2010,20101231,1.640364,19.032360692,22.574257164,-0.080326697,0.3411002832
15069,2011,20111231,1,22.574257164,29.270000458,0.2041651121,0.3153513292
15202,2007,20071231,1,89.870002747,79.089996338,0.1014025379,0.2805897067
15202,2008,20081231,1,79.089996338,69.580001831,-0.010007618,0.3709357635
15202,2009,20091231,1,69.580001831,52.669998169,-0.180584559,0.4095242068
15202,2010,20101231,1,52.669998169,44.36000061,-0.181223587,0.4404797099
15202,2011,20111231,1,44.36000061,39.349998474,-0.173921812,0.4086987453
15579,2007,20071231,1,28.799999237,33.400001526,0.0742994457,0.265378104
15579,2008,20081231,1,33.400001526,15.520000458,-0.193023666,0.2754151421
15579,2009,20091231,1,15.520000458,26.059999466,0.0791077235,0.2976321633
15579,2010,20101231,1,26.059999466,32.5,0.1235268263,0.3156688576
15579,2011,20111231,1,32.5,29.11000061,0.2696194275,0.2677663435
16126,2007,20080229,2,10.125,17.709999084,0.577738181,0.4869218336
16126,2008,20090228,2,17.709999084,10.119999886,0.3135991309,0.5398446352
16126,2009,20100228,2,10.119999886,15.704999924,0.2636409217,0.5513600208
16126,2010,20110228,2,15.704999924,21.329999924,0.1540442057,0.4823519438
16126,2011,20120229,2,21.329999924,25.100000381,0.3581399833,0.373742015
17726,2007,20071231,1,20.920000076,25.649999619,0.1892123021,0.2217653515
17726,2008,20081231,1,25.649999619,19.200000763,-0.023565517,0.2713185966
17726,2009,20091231,1,19.200000763,25.579999924,0.0782114581,0.2750055957
17726,2010,20101231,1,25.579999924,33.380001068,0.1205758381,0.3059866227
17726,2011,20111231,1,33.380001068,33.580001831,0.2104153103,0.2485962694
19561,2007,20071231,1,88.839996338,87.459999084,0.152760629,0.1758122777
19561,2008,20081231,1,87.459999084,42.669998169,-0.124505602,0.2688565344
19561,2009,20091231,1,42.669998169,54.130001068,-0.105671239,0.34869548
19561,2010,20101231,1,54.130001068,65.260002136,-0.018977699,0.3750074408
19561,2011,20111231,1,65.260002136,73.349998474,0.1954878561,0.3180783821
23077,2007,20080430,1,47.11000061,47.029998779,0.0423276265,0.1377367895
23077,2008,20090430,1,47.029998779,34.419998169,-0.077669694,0.1646403082
23077,2009,20100430,1,34.419998169,46.869998932,0.014118074,0.1772979363
23077,2010,20110430,1,46.869998932,51.229999542,0.0560920013,0.1723992529
23077,2011,20120430,1,51.229999542,53.310001373,0.1617785714,0.1231864135
23393,2007,20071231,2,21.325000763,27.034999847,0.1310083864,0.172384953
23393,2008,20081231,2,27.034999847,28.059999466,0.1548568532,0.1877741853
23393,2009,20091231,2,28.059999466,30.225000381,0.1017341734,0.2010620499
23393,2010,20101231,2,30.225000381,34.509998322,0.0765844529,0.1846445682
23393,2011,20111231,1,34.509998322,45.759998322,0.1779866232,0.1741220694
24942,2007,20071231,1,52.799999237,60.700000763,0.117517042,0.1162506451
24942,2008,20081231,1,60.700000763,51.040000916,0.0600613701,0.1583084113
24942,2009,20091231,1,51.040000916,51.520000458,-0.023179079,0.2317474836
24942,2010,20101231,1,51.520000458,46.340000153,-0.091088512,0.2380734076
24942,2011,20111231,1,46.340000153,48.380001068,-0.018892143,0.2357317019
28484,2007,20071231,1,49.569999695,100.86000061,0.5184349681,0.3491425877
28484,2008,20081231,1,100.86000061,53.63999939,0.196630982,0.441569527
28484,2009,20091231,1,53.63999939,60.5,0.1982761961,0.4317379072
28484,2010,20101231,1,60.5,76.540000916,-0.031511132,0.3940280527
28484,2011,20111231,1,76.540000916,56.799999237,0.0414928386,0.3221354761
30681,2007,20071231,1,52.270000458,47.529998779,0.0049345939,0.143783666
30681,2008,20081231,1,47.529998779,26.920000076,-0.134567627,0.2040233497
30681,2009,20091231,1,26.920000076,39.150001526,-0.042334499,0.2935625674
30681,2010,20101231,1,39.150001526,45.799999237,0.0565307872,0.3354853908
30681,2011,20111231,1,45.799999237,44.580001831,0.195146051,0.333572429
38659,2007,20071231,1,15.56000042,17.770000458,-0.043513884,0.240538683
38659,2008,20081231,1,17.770000458,8.8299999237,-0.219983445,0.3293229332
38659,2009,20091231,1,8.8299999237,17.850000381,0.1976936779,0.435013801
38659,2010,20101231,1,17.850000381,29.559999466,0.3836281232,0.4919496631
38659,2011,20111231,1,29.559999466,29.590000153,0.5542279994,0.4415843653
39220,2007,20071231,1,14.979999542,8.1599998474,-0.123004925,0.5182926277
39220,2008,20081231,1,8.1599998474,3.4600000381,-0.171958425,0.6411211046
39220,2009,20091231,1,3.4600000381,8.5200004578,0.1289755433,0.8539964855
39220,2010,20101231,1,8.5200004578,13.699999809,0.4900692015,0.8612249441
39220,2011,20111231,1,13.699999809,20.049999237,0.8384575633,0.7167235415
39538,2007,20071231,1,22.659999847,19.040000916,-0.015821491,0.252745243
39538,2008,20081231,1,19.040000916,16,-0.001725395,0.3017421236
